adres,postcode,type,m2,kamers,prijs,prijstype
Kamgras 34,"3068 CC,  Rotterdam",Eengezinswoning,123 m²,5 kamers,€ 285.000 k.k.,k.k.
Bergse Linker Rottekade 26,"3056 LA,  Rotterdam",Vrijstaande woning,134 m²,5 kamers,€ 550.000 k.k.,k.k.
Schonebergerweg 30 B,"3023 ZL,  Rotterdam",Benedenwoning,120 m²,4 kamers,€ 350.000 k.k.,k.k.
Laurens van Kuikstraat 8,"3059 TE,  Rotterdam",Eengezinswoning,115 m²,6 kamers,€ 335.000 k.k.,k.k.
Rozenlaan 48 B,"3051 LS,  Rotterdam",Appartement,95 m²,4 kamers,€ 275.000 ,
Graswinckelstraat 61,"3043 SG,  Rotterdam",Hoekwoning,118 m²,5 kamers,€ 475.000 k.k.,k.k.
Helmbloem 23,"3068 AC,  Rotterdam",Tussenwoning,125 m²,5 kamers,€ 232.500 k.k.,k.k.
Mullerkade 203,"3024 EP,  Rotterdam",Appartement,105 m²,3 kamers,€ 387.000 k.k.,k.k.
Oldenoord 35,"3079 KG,  Rotterdam",Tussenwoning,92 m²,5 kamers,€ 179.000 k.k.,k.k.
Adrianalaan 168,"3053 MG,  Rotterdam",NA,143 m²,4 kamers,€ 625.000 k.k.,k.k.
Prinsenlaan 619 F,"3067 TZ,  Rotterdam",Appartement,104 m²,3 kamers,€ 315.000 k.k.,k.k.
Charloisse Hoofd 73 E,"3087 CA,  Rotterdam",Appartement,80 m²,3 kamers,€ 275.000 k.k.,k.k.
St-jobstraat 61,"3024 EG,  Rotterdam",Appartement,113 m²,2 kamers,€ 389.000 k.k.,k.k.
Leppedijk 38,"3079 GM,  Rotterdam",Hoekwoning,90 m²,4 kamers,€ 229.500 k.k.,k.k.
Koninginneweg 184,"3078 GR,  Rotterdam",Hoekwoning,85 m²,4 kamers,€ 235.000 k.k.,k.k.
Atjehstraat 62 A,"3072 ZH,  Rotterdam",Appartement,64 m²,3 kamers,€ 225.000 k.k.,k.k.
Fazantstraat 158 A,"3083 ZR,  Rotterdam",Appartement,59 m²,4 kamers,€ 165.000 k.k.,k.k.
Harp 21,"3068 HM,  Rotterdam",Tussenwoning,128 m²,5 kamers,€ 275.000 k.k.,k.k.
Rhederoord 56,"3079 JL,  Rotterdam",Eengezinswoning,108 m²,6 kamers,€ 245.000 k.k.,k.k.
Frederikstraat 41,"3034 LC,  Rotterdam",Eengezinswoning,125 m²,5 kamers,€ 315.000 k.k.,k.k.
Westplein 103,"3016 BM,  Rotterdam",Penthouse,191 m²,4 kamers,€ 1.395.000 k.k.,k.k.
Utrechtsestraat 13 A+b,"3074 TP,  Rotterdam",Herenhuis,190 m²,6 kamers,€ 399.950 k.k.,k.k.
Carel Willinksingel 312,"3059 WD,  Rotterdam",Eengezinswoning,137 m²,5 kamers,€ 385.000 k.k.,k.k.
Burgemeester Le Fevre de Montignylaan 4,"3055 LE,  Rotterdam",Herenhuis,164 m²,6 kamers,€ 1.075.000 ,
Noorder Kerkedijk 22,"3078 PA,  Rotterdam",Tussenwoning,119 m²,4 kamers,€ 170.000 k.k.,k.k.
Van der Dussenstraat 20 A 2,"3039 TB,  Rotterdam",Bovenwoning,104 m²,6 kamers,€ 330.000 k.k.,k.k.
Stellendamstraat 2,"3086 ZJ,  Rotterdam",Woning,124 m²,5 kamers,€ 309.500 k.k.,k.k.
Marie V Eijsden-vinkstra 49,"3066 JB,  Rotterdam",Penthouse,175 m²,3 kamers,€ 675.000 ,
Gerardus V Sillevoldtstraat 32,"3065 LG,  Rotterdam",Twee onder één kap,148 m²,5 kamers,€ 619.000 k.k.,k.k.
Wijnbrugstraat 51,"3011 XW,  Rotterdam",Woning,90 m²,3 kamers,€ 329.000 k.k.,k.k.
Port-saidstraat 150,"3067 MV,  Rotterdam",Hoekwoning,133 m²,5 kamers,€ 385.000 k.k.,k.k.
Jean Monnetstraat 27,"3066 VR,  Rotterdam",Woning,96 m²,4 kamers,€ 299.000 k.k.,k.k.
Attleestraat 10,"3066 VM,  Rotterdam",Eengezinswoning,88 m²,4 kamers,€ 282.500 k.k.,k.k.
Meerum Terwogtlaan 219,"3056 PP,  Rotterdam",Eengezinswoning,124 m²,5 kamers,€ 385.000 k.k.,k.k.
Mathenesserdijk 120 Abc,"3027 AK,  Rotterdam",Tussenwoning,286 m²,10 kamers,€ 320.000 k.k.,k.k.
Strijpesingel 98,"3042 EN,  Rotterdam",Tussenwoning,128 m²,5 kamers,€ 400.000 k.k.,k.k.
Brekelsveld 46,"3085 BA,  Rotterdam",Woning,107 m²,4 kamers,€ 310.000 k.k.,k.k.
Geert van Oorschotstraat 5,"3059 TS,  Rotterdam",Tussenwoning,165 m²,5 kamers,€ 559.000 k.k.,k.k.
Kurt Weillstraat 91,"3069 ML,  Rotterdam",Eengezinswoning,101 m²,5 kamers,€ 269.000 k.k.,k.k.
Gedempte Zalmhaven 535,"3011 BT,  Rotterdam",Appartement,120 m²,5 kamers,€ 495.000 k.k.,k.k.
Laan van Avant-garde 500,"3059 VA,  Rotterdam",Tussenwoning,149 m²,6 kamers,€ 400.000 k.k.,k.k.
Dijkgraafstraat 27,"3077 GE,  Rotterdam",Woning,133 m²,5 kamers,€ 392.800 k.k.,k.k.
Willem van Hillegaersbergstraat 91,"3051 RD,  Rotterdam",Herenhuis,142 m²,7 kamers,€ 325.000 k.k.,k.k.
Anna van Egmondhof 13,"3062 HP,  Rotterdam",Bungalow,154 m²,3 kamers,€ 979.000 ,
Haagseveer 66,"3011 DA,  Rotterdam",Woning,105 m²,5 kamers,€ 350.000 k.k.,k.k.
Medinastraat 17,"3025 NR,  Rotterdam",NA,163 m²,5 kamers,€ 450.000 k.k.,k.k.
Serooskerkestraat 18,"3086 HX,  Rotterdam",Eengezinswoning,124 m²,5 kamers,€ 300.000 k.k.,k.k.
Bergse Dorpsstraat 24 B Ii,"3054 GD,  Rotterdam",Bovenwoning,127 m²,4 kamers,€ 375.000 k.k.,k.k.
Krabbendijkestraat 429,"3086 LV,  Rotterdam",Appartement,70 m²,4 kamers,€ 138.000 k.k.,k.k.
Bergselaan 88 B,"3037 CC,  Rotterdam",Woning,87 m²,4 kamers,€ 335.000 k.k.,k.k.
Rosenveldtstraat 91 B,"3025 RS,  Rotterdam",Dubbele bovenwoning,96 m²,4 kamers,€ 215.000 k.k.,k.k.
Paul Whitemansingel 24,"3069 XV,  Rotterdam",Hoekwoning,100 m²,5 kamers,€ 250.000 k.k.,k.k.
Zocherstraat 4 A,"3067 AT,  Rotterdam",Hoekwoning,136 m²,5 kamers,€ 400.000 k.k.,k.k.
Willem Schurmannstraat 9 A,"3031 RM,  Rotterdam",Appartement,75 m²,2 kamers,€ 295.000 k.k.,k.k.
Edmond Hellenraadstraat 130,"3067 NV,  Rotterdam",Appartement,85 m²,4 kamers,€ 209.500 k.k.,k.k.
Bernardus Gewinstraat 24 B,"3031 SE,  Rotterdam",Appartement,55 m²,4 kamers,€ 219.000 k.k.,k.k.
Terbregseweg 36,"3056 JW,  Rotterdam",Herenhuis,127 m²,5 kamers,€ 460.000 k.k.,k.k.
Cannenburchstraat 21,"3077 PC,  Rotterdam",Tussenwoning,82 m²,4 kamers,€ 175.000 k.k.,k.k.
Zevenkampse Ring 267,"3068 PZ,  Rotterdam",Tussenwoning,93 m²,4 kamers,€ 200.000 k.k.,k.k.
Wijnbrugstraat 274,"3011 XW,  Rotterdam",Appartement,102 m²,3 kamers,€ 517.500 k.k.,k.k.
Balsemkruid 54,"3068 DD,  Rotterdam",Tussenwoning,115 m²,6 kamers,€ 250.000 k.k.,k.k.
Lieven de Keystraat 110,"3067 KM,  Rotterdam",Eengezinswoning,160 m²,7 kamers,€ 350.000 k.k.,k.k.
Oude Watering 249,"3077 RG,  Rotterdam",Appartement,67 m²,3 kamers,€ 139.500 k.k.,k.k.
Einsteinplaats 887,"3069 TJ,  Rotterdam",Appartement,112 m²,4 kamers,€ 225.000 k.k.,k.k.
Lange Hilleweg 43 B,"3073 BH,  Rotterdam",Tussenwoning,130 m²,5 kamers,€ 299.000 k.k.,k.k.
Doezastraat 25 Bi,"3039 ZC,  Rotterdam",Appartement,111 m²,5 kamers,€ 399.500 k.k.,k.k.
Wilhelminalaan 12,"3051 JS,  Rotterdam",Woning,120 m²,6 kamers,€ 565.000 k.k.,k.k.
Zuideinde 37,"3059 LH,  Rotterdam",Vrijstaande woning,140 m²,5 kamers,€ 849.000 k.k.,k.k.
Schapegras 4,"3068 CT,  Rotterdam",Tussenwoning,102 m²,4 kamers,€ 220.000 k.k.,k.k.
Schepenstraat 87 A,"3039 ND,  Rotterdam",Bovenwoning,120 m²,5 kamers,€ 399.500 k.k.,k.k.
Bergpolderstraat 55 I,"3038 KB,  Rotterdam",Benedenwoning,55 m²,2 kamers,€ 225.000 k.k.,k.k.
Churchillplein 168,"3011 EW,  Rotterdam",Appartement,93 m²,3 kamers,€ 325.000 k.k.,k.k.
Rolklaver 61,"3069 DH,  Rotterdam",Tussenwoning,94 m²,5 kamers,€ 275.000 k.k.,k.k.
Hordijk 123 C,"3079 DE,  Rotterdam",Eengezinswoning,130 m²,6 kamers,€ 245.000 k.k.,k.k.
Meent 39 D,"3011 JC,  Rotterdam",Appartement,115 m²,4 kamers,€ 450.000 ,
Houtlaan 22 C,"3016 DA,  Rotterdam",Appartement,137 m²,4 kamers,€ 595.000 k.k.,k.k.
Kimbrenoord 28,"3079 KD,  Rotterdam",Hoekwoning,110 m²,5 kamers,€ 225.000 k.k.,k.k.
Brielselaan 56 A,"3081 LC,  Rotterdam",Appartement,93 m²,4 kamers,€ 260.000 k.k.,k.k.
Max Heymansstraat 39,"3059 MK,  Rotterdam",Tussenwoning,145 m²,6 kamers,€ 429.000 k.k.,k.k.
Schiedamseweg 41 A,"3026 AC,  Rotterdam",Bovenwoning,144 m²,5 kamers,€ 369.000 k.k.,k.k.
Zevenbergsedijkje 60 B,"3079 DR,  Rotterdam",Vrijstaande woning,155 m²,5 kamers,€ 699.500 k.k.,k.k.
Moliereweg 704,"3076 GW,  Rotterdam",Tussenwoning,106 m²,6 kamers,€ 250.000 k.k.,k.k.
Schuilingsoord 139,"3079 NE,  Rotterdam",Appartement,81 m²,3 kamers,€ 160.000 k.k.,k.k.
Cornelis van Rijstraat 1,"3078 GK,  Rotterdam",Tussenwoning,80 m²,3 kamers,€ 175.000 k.k.,k.k.
Rolklaver 44,"3069 DH,  Rotterdam",Eengezinswoning,131 m²,5 kamers,€ 325.000 k.k.,k.k.
Rochussenstraat 513,"3023 DL,  Rotterdam",Penthouse,106 m²,3 kamers,€ 399.000 k.k.,k.k.
Stroveer 46,"3032 GA,  Rotterdam",NA,75 m²,3 kamers,€ 240.000 k.k.,k.k.
Prinsendijk 18,"3079 TG,  Rotterdam",Tussenwoning,97 m²,5 kamers,€ 225.000 k.k.,k.k.
Leo Gestelstraat 18,"3059 VH,  Rotterdam",Tussenwoning,135 m²,5 kamers,€ 399.900 k.k.,k.k.
Hoge Limiet 170,"3054 KT,  Rotterdam",Twee onder één kap,79 m²,4 kamers,€ 325.000 k.k.,k.k.
Willem Buytewechstraat 116 B,"3024 VD,  Rotterdam",Appartement,104 m²,4 kamers,€ 269.000 k.k.,k.k.
Calandstraat 34 C,"3016 CC,  Rotterdam",Appartement,76 m²,2 kamers,€ 400.000 k.k.,k.k.
Zevenkampse Ring 281,"3068 PZ,  Rotterdam",Woning,105 m²,5 kamers,€ 259.000 k.k.,k.k.
Nystadstraat 18,"3067 DT,  Rotterdam",Tussenwoning,130 m²,7 kamers,€ 285.000 k.k.,k.k.
Oude Watering 342,"3077 RE,  Rotterdam",Tussenwoning,106 m²,4 kamers,€ 219.900 k.k.,k.k.
Schielaan 16 A,"3043 HB,  Rotterdam",Appartement,107 m²,3 kamers,€ 250.000 k.k.,k.k.
De Savornin Lohmanlaan 46 B,"3038 NL,  Rotterdam",Appartement,142 m²,5 kamers,€ 435.000 k.k.,k.k.
Akkerwindestraat 23,"3051 LA,  Rotterdam",Hoekwoning,265 m²,10 kamers,€ 645.000 k.k.,k.k.
Gein 5,"3068 GJ,  Rotterdam",Eengezinswoning,115 m²,5 kamers,€ 250.000 k.k.,k.k.
Neeltje Breedveldkade 18,"3059 SR,  Rotterdam",Villa,313 m²,6 kamers,€ 2.100.000 k.k.,k.k.
S-gravenweg 532,"3065 SG,  Rotterdam",NA,322 m²,3 kamers,€ 2.950.000 ,
Celesta 21,"3068 HH,  Rotterdam",Tussenwoning,105 m²,5 kamers,€ 289.000 k.k.,k.k.
Herman Robbersstraat 60 C,"3031 RH,  Rotterdam",Appartement,57 m²,4 kamers,€ 260.000 k.k.,k.k.
Zestienhovensekade 145,"3043 KL,  Rotterdam",Eengezinswoning,92 m²,5 kamers,€ 305.000 k.k.,k.k.
Noorder Kerkedijk 37 C,"3078 PC,  Rotterdam",Eengezinswoning,100 m²,5 kamers,€ 243.800 k.k.,k.k.
Kabelhof 57,"3072 WJ,  Rotterdam",Appartement,104 m²,3 kamers,€ 325.000 k.k.,k.k.
Schippersstraat 45-47,"3025 PE,  Rotterdam",Bovenwoning,167 m²,6 kamers,€ 435.000 k.k.,k.k.
Jannetje Merbiskade 8,"3059 SJ,  Rotterdam",Villa,165 m²,4 kamers,€ 719.000 k.k.,k.k.
Koningin Emmaplein 15 E,"3016 AB,  Rotterdam",NA,221 m²,3 kamers,€ 1.195.000 k.k.,k.k.
Evenaar 274,"3067 DA,  Rotterdam",NA,104 m²,3 kamers,€ 209.000 k.k.,k.k.
Laan van Magisch Realisme 239,"3059 WB,  Rotterdam",Hoekwoning,232 m²,9 kamers,€ 619.000 k.k.,k.k.
Bolkruid 14,"3068 DN,  Rotterdam",Tussenwoning,120 m²,6 kamers,€ 245.000 k.k.,k.k.
Kerkwervesingel 103,"3086 HL,  Rotterdam",Appartement,55 m²,2 kamers,€ 125.000 k.k.,k.k.
Koningslaan 312,"3067 TG,  Rotterdam",Appartement,92 m²,3 kamers,€ 225.000 k.k.,k.k.
Doctor de Visserstraat 22 A 02,"3038 TS,  Rotterdam",Dubbele bovenwoning,106 m²,4 kamers,€ 304.500 k.k.,k.k.
Louise de Colignylaan 36,"3062 HC,  Rotterdam",Vrijstaande woning,176 m²,5 kamers,€ 1.000.000 k.k.,k.k.
Stroveer 203,"3032 GB,  Rotterdam",Dubbele bovenwoning,99 m²,4 kamers,€ 295.000 k.k.,k.k.
Lamsrustlaan 187,"3054 VG,  Rotterdam",NA,279 m²,2 kamers,€ 1.495.000 k.k.,k.k.
Carnisselaan 3 B,"3083 HA,  Rotterdam",Bovenwoning,100 m²,3 kamers,€ 189.500 k.k.,k.k.
Regenboogkade 135,"3077 CX,  Rotterdam",Penthouse,123 m²,3 kamers,€ 425.000 k.k.,k.k.
Boergoensevliet 39 Ai,"3082 KH,  Rotterdam",Bovenwoning,118 m²,4 kamers,€ 225.000 k.k.,k.k.
Herman Bielingplein 8,"3059 TV,  Rotterdam",Geschakelde woning,164 m²,6 kamers,€ 569.000 k.k.,k.k.
Stichtseplein 8 Ab, Rotterdam,Tussenwoning,130 m²,5 kamers,€ 249.000 k.k.,k.k.
Abraham Kuyperlaan 0 Ong,"3038 PL,  Rotterdam",Benedenwoning,110 m²,5 kamers,€ 350.000 k.k.,k.k.
Maasstraat 11,"3016 DB,  Rotterdam",Tussenwoning,350 m²,6 kamers,€ 1.800.000 k.k.,k.k.
Katendrechtse Lagedijk 191 C,"3081 ZV,  Rotterdam",Appartement,122 m²,5 kamers,€ 175.000 k.k.,k.k.
Wijnbrugstraat 367,"3011 XW,  Rotterdam",Penthouse,190 m²,5 kamers,€ 1.195.000 k.k.,k.k.
Mullerkade 703,"3024 EP,  Rotterdam",Appartement,139 m²,4 kamers,€ 645.000 k.k.,k.k.
Jan Willem Frisostraat 24 A,"3051 EL,  Rotterdam",Benedenwoning,85 m²,5 kamers,€ 269.000 k.k.,k.k.
Prinsenlaan 502,"3066 KE,  Rotterdam",Appartement,100 m²,3 kamers,€ 275.000 k.k.,k.k.
Ter Wormstraat 64,"3077 PN,  Rotterdam",Tussenwoning,90 m²,4 kamers,€ 175.000 k.k.,k.k.
Zuidplein 498,"3083 CX,  Rotterdam",Appartement,80 m²,3 kamers,€ 199.500 k.k.,k.k.
Thomas Mannplaats 404,"3069 NJ,  Rotterdam",Appartement,84 m²,3 kamers,€ 279.000 k.k.,k.k.
Rozenlaan 123 A,"3051 LP,  Rotterdam",Benedenwoning,91 m²,3 kamers,€ 219.500 k.k.,k.k.
Schapegras 12,"3068 CT,  Rotterdam",Tussenwoning,101 m²,6 kamers,€ 235.000 k.k.,k.k.
Rietkerkweg 326,"3066 VK,  Rotterdam",Appartement,93 m²,3 kamers,€ 289.500 k.k.,k.k.
Meester Marrestraat 45,"3032 SV,  Rotterdam",Appartement,67 m²,3 kamers,€ 195.000 k.k.,k.k.
Quadenoord 156,"3079 XH,  Rotterdam",Appartement,66 m²,3 kamers,€ 137.500 k.k.,k.k.
Pr Frederik Hendrikstr 35,"3051 EN,  Rotterdam",Woning,184 m²,6 kamers,€ 525.000 k.k.,k.k.
Jonker Fransstraat 107 D,"3031 AP,  Rotterdam",Appartement,109 m²,4 kamers,€ 289.000 k.k.,k.k.
Henegouwerlaan 42 A,"3014 CB,  Rotterdam",Appartement,188 m²,8 kamers,€ 479.000 k.k.,k.k.
Swiftstraat 25,"3076 SN,  Rotterdam",Tussenwoning,79 m²,3 kamers,€ 225.000 k.k.,k.k.
Edmond Hellenraadstraat 89,"3067 NS,  Rotterdam",Appartement,85 m²,3 kamers,€ 225.000 k.k.,k.k.
Straatweg 262,"3054 AN,  Rotterdam",NA,188 m²,3 kamers,€ 749.000 k.k.,k.k.
Zwijndrechtsestraat 35,"3073 RK,  Rotterdam",Vrijstaande woning,72 m²,3 kamers,€ 175.000 k.k.,k.k.
Randweg 40,"3074 BP,  Rotterdam",Woning,249 m²,4 kamers,€ 599.000 k.k.,k.k.
Jonker Fransstraat 71 D,"3031 AN,  Rotterdam",Bovenwoning,104 m²,5 kamers,€ 289.000 k.k.,k.k.
Van Swietenlaan 56,"3083 DZ,  Rotterdam",Maisonette,71 m²,3 kamers,€ 165.000 k.k.,k.k.
Nemelaersingel 116,"3077 PL,  Rotterdam",Tussenwoning,116 m²,5 kamers,€ 250.000 k.k.,k.k.
Marc Chagallstraat 26,"3059 VM,  Rotterdam",Geschakelde woning,179 m²,7 kamers,€ 589.000 k.k.,k.k.
Grindweg 139,"3054 VJ,  Rotterdam",NA,194 m²,3 kamers,€ 995.000 k.k.,k.k.
Philip Vingboonsstraat 28,"3067 ZC,  Rotterdam",Appartement,63 m²,3 kamers,€ 155.000 k.k.,k.k.
Stationssingel 45 C,"3033 HC,  Rotterdam",Benedenwoning,66 m²,3 kamers,€ 250.000 k.k.,k.k.
Meijersplein-noord 54,"3053 TD,  Rotterdam",Appartement,69 m²,3 kamers,€ 219.500 k.k.,k.k.
Bergselaan 61,"3037 BB,  Rotterdam",NA,248 m²,3 kamers,€ 700.000 k.k.,k.k.
Ellewoutsdijkstraat 201,"3086 LD,  Rotterdam",Appartement,53 m²,3 kamers,€ 109.500 k.k.,k.k.
