PostCode,latitude,longitude
3000AA,51.955118652773,4.5301190909178
3000AB,51.955118652773,4.5301190909178
3000AC,51.955118652773,4.5301190909178
3000AD,51.955118652773,4.5301190909178
3000AE,51.955118652773,4.5301190909178
3000AG,51.955118652773,4.5301190909178
3000AH,51.955118652773,4.5301190909178
3000AJ,51.955118652773,4.5301190909178
3000AK,51.955118652773,4.5301190909178
3000AL,51.955118652773,4.5301190909178
3000AM,51.955118652773,4.5301190909178
3000AN,51.955118652773,4.5301190909178
3000AP,51.955118652773,4.5301190909178
3000AR,51.955118652773,4.5301190909178
3000AS,51.955118652773,4.5301190909178
3000AT,51.955118652773,4.5301190909178
3000AV,51.955118652773,4.5301190909178
3000AW,51.955118652773,4.5301190909178
3000AX,51.955118652773,4.5301190909178
3000AZ,51.955118652773,4.5301190909178
3000BA,51.955118652773,4.5301190909178
3000BB,51.955118652773,4.5301190909178
3000BC,51.955118652773,4.5301190909178
3000BD,51.955118652773,4.5301190909178
3000BE,51.955118652773,4.5301190909178
3000BG,51.955118652773,4.5301190909178
3000BH,51.955118652773,4.5301190909178
3000BJ,51.955118652773,4.5301190909178
3000BK,51.955118652773,4.5301190909178
3000BL,51.955118652773,4.5301190909178
3000BM,51.955118652773,4.5301190909178
3000BN,51.955118652773,4.5301190909178
3000BP,51.955118652773,4.5301190909178
3000BR,51.955118652773,4.5301190909178
3000BS,51.955118652773,4.5301190909178
3000BT,51.955118652773,4.5301190909178
3000BV,51.955118652773,4.5301190909178
3000BW,51.955118652773,4.5301190909178
3000BX,51.955118652773,4.5301190909178
3000BZ,51.955118652773,4.5301190909178
3000CA,51.955118652773,4.5301190909178
3000CB,51.955118652773,4.5301190909178
3000CC,51.955118652773,4.5301190909178
3000CD,51.955118652773,4.5301190909178
3000CE,51.955118652773,4.5301190909178
3000CG,51.955118652773,4.5301190909178
3000CH,51.955118652773,4.5301190909178
3000CJ,51.955118652773,4.5301190909178
3000CK,51.955118652773,4.5301190909178
3000CL,51.955118652773,4.5301190909178
3000CM,51.955118652773,4.5301190909178
3000CN,51.955118652773,4.5301190909178
3000CP,51.955118652773,4.5301190909178
3000CR,51.955118652773,4.5301190909178
3000CS,51.955118652773,4.5301190909178
3000CT,51.955118652773,4.5301190909178
3000CV,51.955118652773,4.5301190909178
3000CW,51.955118652773,4.5301190909178
3000CX,51.955118652773,4.5301190909178
3000CZ,51.955118652773,4.5301190909178
3000DG,51.955118652773,4.5301190909178
3000DH,51.955118652773,4.5301190909178
3000DK,51.955118652773,4.5301190909178
3000DR,51.955118652773,4.5301190909178
3000HA,51.955118652773,4.5301190909178
3000HD,51.955118652773,4.5301190909178
3000HG,51.955118652773,4.5301190909178
3000HH,51.955118652773,4.5301190909178
3000HJ,51.955118652773,4.5301190909178
3000HK,51.955118652773,4.5301190909178
3000KP,51.955118652773,4.5301190909178
3000KR,51.955118652773,4.5301190909178
3000LB,51.955118652773,4.5301190909178
3000LD,51.955118652773,4.5301190909178
3000LE,51.955118652773,4.5301190909178
3000LG,51.955118652773,4.5301190909178
3000LM,51.955118652773,4.5301190909178
3000LN,51.955118652773,4.5301190909178
3000LP,51.955118652773,4.5301190909178
3000LX,51.955118652773,4.5301190909178
3000NA,51.955118652773,4.5301190909178
3000PD,51.955118652773,4.5301190909178
3001AA,51.955118652773,4.5301190909178
3001AB,51.955118652773,4.5301190909178
3001AC,51.955118652773,4.5301190909178
3001AD,51.955118652773,4.5301190909178
3001AE,51.955118652773,4.5301190909178
3001AG,51.955118652773,4.5301190909178
3001AH,51.955118652773,4.5301190909178
3001AJ,51.955118652773,4.5301190909178
3001AK,51.955118652773,4.5301190909178
3001AL,51.955118652773,4.5301190909178
3001AM,51.955118652773,4.5301190909178
3001AN,51.955118652773,4.5301190909178
3001AP,51.955118652773,4.5301190909178
3001AR,51.955118652773,4.5301190909178
3001AS,51.955118652773,4.5301190909178
3001AT,51.955118652773,4.5301190909178
3001AV,51.955118652773,4.5301190909178
3001AW,51.955118652773,4.5301190909178
3001AX,51.955118652773,4.5301190909178
3001AZ,51.955118652773,4.5301190909178
3001BA,51.955118652773,4.5301190909178
3001BB,51.955118652773,4.5301190909178
3001BC,51.955118652773,4.5301190909178
3001BD,51.955118652773,4.5301190909178
3001BE,51.955118652773,4.5301190909178
3001BG,51.955118652773,4.5301190909178
3001DA,51.955118652773,4.5301190909178
3001DB,51.955118652773,4.5301190909178
3001DC,51.955118652773,4.5301190909178
3001DD,51.955118652773,4.5301190909178
3001DE,51.955118652773,4.5301190909178
3001GA,51.955118652773,4.5301190909178
3001GB,51.955118652773,4.5301190909178
3001GC,51.955118652773,4.5301190909178
3001GD,51.955118652773,4.5301190909178
3001GE,51.955118652773,4.5301190909178
3001HA,51.955118652773,4.5301190909178
3001HB,51.955118652773,4.5301190909178
3001HC,51.955118652773,4.5301190909178
3001HD,51.955118652773,4.5301190909178
3001HE,51.955118652773,4.5301190909178
3001HG,51.955118652773,4.5301190909178
3001HH,51.955118652773,4.5301190909178
3001JB,51.955118652773,4.5301190909178
3001KA,51.955118652773,4.5301190909178
3001KB,51.955118652773,4.5301190909178
3001KC,51.955118652773,4.5301190909178
3001KD,51.955118652773,4.5301190909178
3001KE,51.955118652773,4.5301190909178
3001KG,51.955118652773,4.5301190909178
3001KH,51.955118652773,4.5301190909178
3001KJ,51.955118652773,4.5301190909178
3001KK,51.955118652773,4.5301190909178
3001KL,51.955118652773,4.5301190909178
3001KM,51.955118652773,4.5301190909178
3001SK,51.955118652773,4.5301190909178
