PostCode,Bus,Ferry,IC,Metro,Tram,Trein
3051RH,0.0016843436012544454,0.03835388917856543,0.0276359281931566,0.02237202983453196,0.0016843436012544454,0.006671345559734692
3051RJ,0.0019072360677180678,0.03444792468961939,0.022703063798661632,0.019504256135549274,0.0019072360677180678,0.0019072360677180678
3051RK,0.0012398346097679223,0.03545773020993242,0.023726658369831337,0.019556906849074004,0.0012398346097679223,0.002522364006144079
3051RL,0.0018776212550556022,0.037209447902134575,0.025994416086686237,0.020941136713759915,0.0018776212550556022,0.004844776251892251
3051RM,0.0016593574289316838,0.037566397617024724,0.026572187531585512,0.021529189986155065,0.0016593574289316838,0.005529649870920365
3051RN,0.0016610510157557448,0.03780379467505029,0.02694880553866241,0.021909611132796526,0.0016610510157557448,0.005972449871601358
3051RP,0.0019114857028436824,0.03828594267853681,0.027666373415703355,0.022586844255125783,0.0019114857028436824,0.006788848990889088
3051SB,0.0024188287845990034,0.03721299775739928,0.019984234805841643,0.007265444579897104,0.001997439262834833,0.010783086885513308
3051SC,0.0024430131102064706,0.03639365529373137,0.019183004836500483,0.007917697269129236,0.0025375227122976574,0.010533022382568006
3051SE,0.0020521424805243897,0.03709428610433723,0.01999128973329436,0.007560558267157143,0.00234726374616552,0.010417781862148473
3051SG,0.0020658667644184673,0.036438827715980913,0.019356897212424947,0.008071503659064,0.0027380931650003567,0.010203209328436632
3051SH,8.36430624135056e-4,0.03742734562199098,0.021278345422625036,0.009465329908678065,0.001134037258248432,0.007972138880784296
3051SJ,7.692732113470447e-4,0.03745532467833932,0.020987944567329747,0.00869631268961588,0.0020720347375392,0.008789717381362642
3051SK,0.001180989603776263,0.03752823735965933,0.0207878404726448,0.008020773610650659,0.0029111413888427778,0.00955195851526594
3051SL,0.001999796654027002,0.03768340721432273,0.020645986606607075,0.007279185435246046,0.002343810438809543,0.010426100077817328
3051SM,0.0028365880812390274,0.037908614592803556,0.020582373968405374,0.006589890369515345,0.0014849020168126123,0.011263358158281915
3051SN,0.004111714470964423,0.03810690559523403,0.02036557749616678,0.005772001153299276,3.9038650183574386e-4,0.012509671682454713
3051SP,0.0029600274996824175,0.037474069702338325,0.020069891747716465,0.006786111585524804,0.001458092814773811,0.011336274056933
3051SR,0.0029025075446343007,0.03680764978748371,0.019416268576342367,0.007335596906460729,0.0019406408876474581,0.011117080673058801
3051ST,0.0029863929803115217,0.03617743109454018,0.01879992919743173,0.007873608135434558,0.0024797187192843657,0.010941300654776543
3051SV,0.0034137823641621646,0.03768607534570189,0.020141669958582648,0.006403421084958059,0.0010261811692714596,0.01179553522311897
3051SW,0.003338393451002852,0.03718289952838512,0.019645228784784124,0.0068281974794677505,0.0014297134821648016,0.011625400526699874
3051SX,0.0033451751783914567,0.03661118273881385,0.019081684706975955,0.007323579581930528,0.001947750136009613,0.011456270974092886
3051SZ,0.003449196607503023,0.03604868608203698,0.018527128649929926,0.007821110635155825,0.002481596816387606,0.011318015333706643
3051TA,0.0023555323160860788,0.03497616546345828,0.019462315392442888,0.011903064915229015,0.0023555323160860788,0.005861958501423706
3051TB,0.0018290038595550277,0.03508479154790409,0.01921684727890502,0.011179131204670878,0.0024758857657799192,0.006723287898235
3051TC,0.001450108125275199,0.03523660098522464,0.01889181888889262,0.010213128931811777,0.003007940779736008,0.007948850273618972
3051TD,0.0017048004580134007,0.03542039773451714,0.018684053337353144,0.009405559255466446,0.003753785223233101,0.009032897633904188
3051TE,0.0024901960082024596,0.034827479889121216,0.019301893851949848,0.011950813598323642,0.002515631082504578,0.005882690878898674
3051TG,0.0018876392118339714,0.034945879612203794,0.01901631388311635,0.011140113431822737,0.0026713173886625413,0.00686679981009816
3051TH,0.0016102139123961871,0.03509039460519862,0.018694037087668536,0.010215650896557111,0.003230829505324322,0.008072088649369997
3051TJ,0.001847978370852406,0.03525010393725935,0.018515995304567833,0.009532503552698175,0.0038613812408221076,0.009006881760473292
3051TK,0.0014570685412567683,0.03528897911424088,0.01916090684147687,0.010578935870478744,0.0025849097539550983,0.007393097886255465
3051TL,0.002280546210008837,0.03540349189214253,0.018424930952695248,0.009027919347045412,0.003640315544357488,0.009727335687448987
3051TM,0.0011016693541670572,0.03637921517262052,0.020589889944394583,0.01072195239292743,0.0011016693541670572,0.006759258167310908
3051TN,0.0016295873411796605,0.03572670365989737,0.019995188421795925,0.011129153517546413,0.001732404140132037,0.0064723370225056275
3051TP,0.0027231024538598705,0.03437329390661411,0.01879261960402386,0.012075999926455751,0.0030254362718150647,0.006016540264060363
3051TR,0.001163705365832025,0.0362493840978202,0.020392001316280266,0.010631350029787517,0.0012963692465527141,0.0068883237563947385
3051TS,0.0015148768407670084,0.03564593045830041,0.019834153508983494,0.011004659615450729,0.0018626177929916396,0.006652440933969082
3051TT,0.0026348705624784944,0.03436863900026917,0.018709123553577383,0.011939015644156092,0.0030906007102512313,0.006204965474518308
3051TV,7.36898506748306e-4,0.036706244373474785,0.02096886871878218,0.010705928468251023,7.36898506748306e-4,0.006735055897328365
3051TW,5.95349158942901e-4,0.03685634184671145,0.021097418695262087,0.010600541553050694,5.95349158942901e-4,0.006835406630650568
3051TX,0.0019657653487620023,0.03525157832209436,0.01956429668181735,0.011439631939014218,0.002199889800796639,0.006298318242373375
3051TZ,0.0017841018951526236,0.03544019542112395,0.019712425737911446,0.0112701848926875,0.0020229829415113077,0.006418359986314508
3051VA,0.0024321839091655337,0.03867916684890486,0.021707220980743874,0.006830822090353136,0.002604567204622569,0.01063353251772262
3051VB,0.0020458988594077724,0.03822426178211916,0.02129143618918407,0.0071646103395472775,0.0026345265108677902,0.010353794128888504
3051VC,0.002181490325798142,0.038557180040113236,0.021681174405542146,0.007121181564450164,0.0028713414737828722,0.010335262787432553
3051VD,0.0017776708428828341,0.03811801472544212,0.02128085548414324,0.007456878074770098,0.0029418994299804826,0.010043232512279445
3051VE,0.003324156085033915,0.03911147232460835,0.0218285525733008,0.005880938014935262,0.001826705547560159,0.01161651917648496
3051VG,0.002677869164588422,0.038346867791631406,0.02115290292544342,0.006544403099909743,0.001862958050693989,0.011068871512986923
3051VH,0.0029778795183191538,0.038880923231870895,0.021692354301816194,0.0062295608176325705,0.002012163359772624,0.01126990392037418
3051VJ,0.002515608612526068,0.038352964229901594,0.02123103425557021,0.00668932760313968,0.0020840688653294822,0.010883529773627902
